Year,Anomaly,Region
192401,0.13,africa
192402,0.17,africa
192403,0.56,africa
192404,0.2,africa
192405,0.19,africa
192406,0.24,africa
192407,-0.31,africa
192408,-0.42,africa
192409,-0.22,africa
192410,-0.26,africa
192411,-0.83,africa
192412,-0.33,africa
192501,-1.43,africa
192502,-0.76,africa
192503,-0.16,africa
192504,-0.1,africa
192505,-0.15,africa
192506,-0.22,africa
192507,0.07,africa
192508,-0.08,africa
192509,-0.1,africa
192510,0.15,africa
192511,0.11,africa
192512,0.18,africa
192601,0.3,africa
192602,0.26,africa
192603,-0.02,africa
192604,0.3,africa
192605,-0.23,africa
192606,0.07,africa
192607,-0.44,africa
192608,-0.3,africa
192609,-0.02,africa
192610,-0.01,africa
192611,-0.04,africa
192612,-0.28,africa
192701,0.02,africa
192702,-0.39,africa
192703,-0.53,africa
192704,-0.31,africa
192705,-0.04,africa
192706,-0.13,africa
192707,0.1,africa
192708,-0.23,africa
192709,0.22,africa
192710,0.32,africa
192711,0.38,africa
192712,0.65,africa
192801,0.23,africa
192802,-0.6,africa
192803,0.34,africa
192804,0.18,africa
192805,0.1,africa
192806,-0.07,africa
192807,-0.24,africa
192808,-0.3,africa
192809,0.23,africa
192810,0.05,africa
192811,0.1,africa
192812,-0.35,africa
192901,-0.23,africa
192902,0.04,africa
192903,-0.21,africa
192904,-0.46,africa
192905,0.01,africa
192906,-0.23,africa
192907,-0.49,africa
192908,-0.49,africa
192909,0.08,africa
192910,-0.38,africa
192911,-0.12,africa
192912,-0.7,africa
193001,-0.76,africa
193002,0.03,africa
193003,-0.26,africa
193004,-0.47,africa
193005,-0.46,africa
193006,-0.43,africa
193007,0.03,africa
193008,-0.29,africa
193009,-0.33,africa
193010,-0.23,africa
193011,-0.16,africa
193012,0.56,africa
193101,0.42,africa
193102,0.38,africa
193103,0.5,africa
193104,0.32,africa
193105,0.4,africa
193106,-0.02,africa
193107,0.26,africa
193108,0.57,africa
193109,0.16,africa
193110,0.18,africa
193111,-0.01,africa
193112,0.08,africa
193201,-0.14,africa
193202,-0.11,africa
193203,0.17,africa
193204,0.25,africa
193205,-0.22,africa
193206,-0.06,africa
193207,-0.44,africa
193208,-0.43,africa
193209,-0.14,africa
193210,0.38,africa
193211,0.23,africa
193212,-0.07,africa
193301,0.18,africa
193302,0.52,africa
193303,0.06,africa
193304,-0.12,africa
193305,-0.05,africa
193306,-0.02,africa
193307,-0.05,africa
193308,-0.23,africa
193309,-0.48,africa
193310,-0.13,africa
193311,0.2,africa
193312,0.08,africa
193401,-0.75,africa
193402,-0.87,africa
193403,-0.7,africa
193404,0.09,africa
193405,-0.06,africa
193406,0.16,africa
193407,0.4,africa
193408,0.37,africa
193409,0.03,africa
193410,0.27,africa
193411,0.08,africa
193412,0.2,africa
193501,0.02,africa
193502,-0.61,africa
193503,-0.11,africa
193504,-0.56,africa
193505,-0.21,africa
193506,-0.3,africa
193507,-0.17,africa
193508,-0.3,africa
193509,-0.1,africa
193510,-0.07,africa
193511,-0.24,africa
193512,0.3,africa
193601,-0.07,africa
193602,0.63,africa
193603,0.01,africa
193604,-0.02,africa
193605,-0.24,africa
193606,-0.29,africa
193607,-0.24,africa
193608,-0.17,africa
193609,-0.52,africa
193610,0.07,africa
193611,0.26,africa
193612,-0.2,africa
193701,-0.3,africa
193702,0.04,africa
193703,0.14,africa
193704,-0.05,africa
193705,-0.05,africa
193706,-0.17,africa
193707,-0.15,africa
193708,0.02,africa
193709,0.26,africa
193710,0.2,africa
193711,0.26,africa
193712,-0.15,africa
193801,-0.09,africa
193802,-0.24,africa
193803,-0.87,africa
193804,0.28,africa
193805,0.02,africa
193806,-0.23,africa
